Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
823A_As-built,823A-MS-I8-1010,"Complete backfilling of the shaft",TT_FinMile,,"Milestone I8",03-Oct-2016,03-Oct-2016,0,18-Sep-2016,18-Sep-2016,,-15,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-I4-1010,"Complete the temporary base slab for Tse Uk Tsuen Shaft",TT_FinMile,,"Milestone I4",01-Nov-2015,01-Nov-2015,0,14-Jul-2013,14-Jul-2013,,-840,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-I1-1010,"Complete 100% of diaphragm wall",TT_FinMile,,"Milestone I1",11-Nov-2011,11-Nov-2011,0,11-Nov-2011,11-Nov-2011,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-I6-1010,"Complete the up track cut and cover tunnel to Degree 1",TT_FinMile,,"Milestone I6",03-Feb-2016,03-Feb-2016,0,12-Jan-2016,12-Jan-2016,,-22,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-I7-1010,"Complete closing of the access opening",TT_FinMile,,"Milestone I7",20-Apr-2016,20-Apr-2016,0,12-Jan-2016,12-Jan-2016,,-99,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-MS-I5-1010,"Complete the down track cut and cover tunnel to Degree 1",TT_FinMile,,"Milestone I5",20-Nov-2014,20-Nov-2014,0,31-Oct-2014,31-Oct-2014,,-20,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,1,0
823A_As-built,823A-AD-DC841A-1040,"ERS to Tse Uk Tsuen Tunnels, up track",TT_Mile,,"841A - Signalling System - Trackside Equipment",01-Jul-2016,01-Jul-2016,0,01-Jul-2016,01-Jul-2016,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC841A-1010,"Tai Kong Po to ERS Tunnels, down track",TT_Mile,,"841A - Signalling System - Trackside Equipment",01-Jan-2016,01-Jan-2016,0,02-Jan-2016,02-Jan-2016,,1,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC841A-1030,"ERS to Tse Uk Tsuen Tunnels, down track",TT_Mile,,"841A - Signalling System - Trackside Equipment",01-Jan-2016,01-Jan-2016,0,02-Jan-2016,02-Jan-2016,,1,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC841A-1020,"Tai Kong Po to ERS Tunnels, up track",TT_Mile,,"841A - Signalling System - Trackside Equipment",02-Jan-2017,02-Jan-2017,0,,,,0,,,02-Jan-2017,02-Jan-2017,14-Apr-2014,14-Apr-2014,0,0
823A_As-built,823A-AD-DC-8023-1020,"ERS to Tse Uk Tsuen, down track",TT_Mile,,"8203 - Construction Stage Mobile Phone Network",01-Dec-2013,01-Dec-2013,0,02-Sep-2013,02-Sep-2013,,-90,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC-8023-1030,"ERS to Tse Uk Tsuen, up track",TT_Mile,,"8203 - Construction Stage Mobile Phone Network",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,03-Mar-2014,03-Mar-2014,0,0
823A_As-built,823A-AD-DC-8023-1010,"Tai Kong Po to ERS Tunnels, both up and down tracks",TT_Mile,,"8203 - Construction Stage Mobile Phone Network",01-Dec-2013,01-Dec-2013,0,01-Jul-2013,01-Jul-2013,,-153,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,1
823A_As-built,823A-AD-DC-851-1040,"ERS to Tse Uk Tsuen Tunnels, up track",TT_Mile,,"851 - Fixed Communication System",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,09-Jun-2014,09-Jun-2014,0,0
823A_As-built,823A-AD-DC-851-1010,"Tai Kong Po to ERS Tunnels, down track",TT_Mile,,"851 - Fixed Communication System",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,27-Jan-2014,27-Jan-2014,0,0
823A_As-built,823A-AD-DC-851-1030,"ERS to Tse Uk Tsuen Tunnels, down track",TT_Mile,,"851 - Fixed Communication System",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,24-Feb-2014,24-Feb-2014,0,0
823A_As-built,823A-AD-DC-851-1020,"Tai Kong Po to ERS Tunnels, up track",TT_Mile,,"851 - Fixed Communication System",02-Jan-2017,02-Jan-2017,0,,,,0,,,02-Jan-2017,02-Jan-2017,14-Apr-2014,14-Apr-2014,0,0
823A_As-built,823A-AD-DC-844-1010,"Tai Kong Po to ERS Tunnels, down track",TT_Mile,,"844 - 11kV Power Distribution",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,27-Jan-2014,27-Jan-2014,0,0
823A_As-built,823A-AD-DC-844-1030,"ERS to Tse Uk Tsuen Tunnels, down track",TT_Mile,,"844 - 11kV Power Distribution",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,24-Feb-2014,24-Feb-2014,0,0
823A_As-built,823A-AD-DC-844-1040,"ERS to Tse Uk Tsuen Tunnels, up track",TT_Mile,,"844 - 11kV Power Distribution",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,09-Jun-2014,09-Jun-2014,0,0
823A_As-built,823A-AD-DC-844-1020,"Tai Kong Po to ERS Tunnels, up track",TT_Mile,,"844 - 11kV Power Distribution",02-Jan-2017,02-Jan-2017,0,,,,0,,,02-Jan-2017,02-Jan-2017,14-Apr-2014,14-Apr-2014,0,0
823A_As-built,823A-AD-DC827-1010,"All cross passages within Tai Kong Po to ERS Tunnels,down track for door installation",TT_Mile,,"827 - Supply and Installation of Cross Passage Doors",01-Jan-2016,01-Jan-2016,0,02-Jan-2016,02-Jan-2016,,1,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC827-1030,"All cross passages within ERS to Tse Uk Tsuen Tunnels, down track, for door frame installation",TT_Mile,,"827 - Supply and Installation of Cross Passage Doors",01-Jan-2016,01-Jan-2016,0,02-Jan-2016,02-Jan-2016,,1,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC827-1040,"All cross passages within ERS to Tse Uk Tsuen Tunnels, uptrack, for door installation",TT_Mile,,"827 - Supply and Installation of Cross Passage Doors",01-Jan-2016,01-Jan-2016,0,02-Jan-2016,02-Jan-2016,,1,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC827-1020,"All cross passages within Tai Kong Po to ERS Tunnels,up track for door installation",TT_Mile,,"827 - Supply and Installation of Cross Passage Doors",02-Jan-2016,02-Jan-2016,0,02-Jan-2016,02-Jan-2016,,0,,,01-Jan-2017,01-Jan-2017,12-Jun-2017,12-Jun-2017,0,0
823A_As-built,823A-AD-DC-849-1040,"ERS to Tse Uk Tsuen Tunnels, up track",TT_Mile,,"849 - Radio Communication System",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,09-Jun-2014,09-Jun-2014,0,0
823A_As-built,823A-AD-DC-849-1010,"Tai Kong Po to ERS Tunnels, down track",TT_Mile,,"849 - Radio Communication System",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,27-Jan-2014,27-Jan-2014,0,0
823A_As-built,823A-AD-DC-849-1030,"ERS to Tse Uk Tsuen Tunnels, down track",TT_Mile,,"849 - Radio Communication System",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,24-Feb-2014,24-Feb-2014,0,0
823A_As-built,823A-AD-DC-849-1020,"Tai Kong Po to ERS Tunnels, up track",TT_Mile,,"849 - Radio Communication System",02-Jan-2017,02-Jan-2017,0,,,,0,,,02-Jan-2017,02-Jan-2017,14-Apr-2014,14-Apr-2014,0,0
823A_As-built,823A-AD-DC841B-1010,"Tai Kong Po to ERS Tunnels,  down track",TT_Mile,,"841B - Signalling System - Train Borne Equipment",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,27-Jan-2014,27-Jan-2014,0,0
823A_As-built,823A-AD-DC841B-1040,"ERS to Tse Uk Tsuen Tunnels, up track",TT_Mile,,"841B - Signalling System - Train Borne Equipment",01-Jan-2017,01-Jan-2017,0,,,,0,,,01-Jan-2017,01-Jan-2017,09-Jun-2014,09-Jun-2014,0,0
