ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1-2279,SI20MAW4-25,"TRANSPORT GLAND STEAM CONDENSER 20MAW",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,30/04/2022,,24/06/2022,,"SP20MAW3-80 FS","SP20MAW3-80","SI20MAW4-40 FS","SI20MAW4-40",91,,98,,21,,23,,60,664,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2280,SI20UBF5B45,"(RFE) STEEL STRUCTURE 20UBE/UBF",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,13/05/2022,,13/05/2022,,"SI20UBF5B15 FS","SI20UBF5B15","SI20BAT8-10 FS,SI20ACA7-65 FS,SI20BAT4-10 FS,SI20UBL5C-30 FS,SI-P222-78 FS","SI20BAT8-10,SI20ACA7-65,SI20BAT4-10,SI20UBL5C-30,SI-P222-78",92,,92,,21,,21,,64,880,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2281,SI20LBF6H47,"ASSEMBLY / ERECTION, BYPASS STATION 20LBF",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,04/09/2022,,01/10/2022,,"SI20HA-6-40 FS,SI20LBF4B40 FS,SI20MA-6-30 FS,SI20MA-6-35 FS,SI20MA-6B04 FS,SI20MA-6B36 FF,SI20MAN6-15 FF","SI20HA-6-40,SI20LBF4B40,SI20MA-6-30,SI20MA-6-35,SI20MA-6B04,SI20MA-6B36,SI20MAN6-15","SI20LBB6J15 FF,SI20HAD8E10 FS,SI11LBA6H71 FS","SI20LBB6J15,SI20HAD8E10,SI11LBA6H71",109,,113,,25,,26,,80,864,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2282,SI20QCB8-10,"(TOP-20QCB) CARBOHYDRAZIDE DOSING SYSTEM FOR CCW",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,10/04/2023,,10/04/2023,,"SI20QC-6H15 FS,SI20QC-7-15 FS,SI20QC-6H17 FS,SI--9998-23& FS,SI20TPM10A8-30 FS","SI20QC-6H15,SI20QC-7-15,SI20QC-6H17,SI--9998-23&,SI20TPM10A8-30","SI20QCB8-25 FS,SI20QC-8-25 FS","SI20QCB8-25,SI20QC-8-25",140,,140,,32,,32,,94,16,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2283,SI20HA-8-35,"FINAL COLD COMMISSIONING HRSG 20HAD/LBH",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,11/06/2023,,17/06/2023,,"SI20HA-8-25 FS,SI20--P6-75 FS,SI20L--6A80 SS","SI20HA-8-25,SI20--P6-75,SI20L--6A80","SI20--P8A25# SS,SI--C--8-58 FS","SI20--P8A25#,SI--C--8-58",149,,150,,34,,35,,98,8,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2284,SI20HA-8-25,"COLD COMMISSIONING DISTRIBUTION PANEL HRSG 20HA",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,18/04/2023,,24/04/2023,,"SI20UBA8-60 FS,SI20BF-8-25 SS,SI20CPC8-25 FS,SI20BZK7-190 FS,SI-PM-40 FS","SI20UBA8-60,SI20BF-8-25,SI20CPC8-25,SI20BZK7-190,SI-PM-40","SI20HA-8-35 FS,SI20CFE8-36 FS","SI20HA-8-35,SI20CFE8-36",141,,142,,33,,33,,95,384,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2285,SI20BFT8-75,"ENERGISING LV-TRANSFORMERS 20BFT01",5121,"HK1003-Rev.0E-3",TT_Mile,"55902",-,-,-,0,TK_NotStart,07/03/2023,,07/03/2023,,"SI20BFT8-25 FS","SI20BFT8-25","SI20BF-8-25 FS","SI20BF-8-25",135,,135,,31,,31,,92,392,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2286,SI20BFT8-25,"COMMISSIONING LV-TRANSFORMERS 20BFT01",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,21/02/2023,,06/03/2023,,"SI20BFT8-10 FS,SI20SGC8-32 FS,SI-PM-40 FS,SI20BUK8-50 FS,SI20BBA8-36 SS","SI20BFT8-10,SI20SGC8-32,SI-PM-40,SI20BUK8-50,SI20BBA8-36","SI20BFT8-75 FS","SI20BFT8-75",133,,135,,31,,31,,91,392,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2287,SI20MAV6-40,"(RFP) READY FOR PIPE CONNECTION LUBE OIL MODUL MAV",5121,"HK1003-Rev.0E-3",TT_FinMile,"55902",-,-,-,0,TK_NotStart,10/08/2022,,10/08/2022,,"SI20MAV6-15 SS","SI20MAV6-15","SI20MAV6H15 FS","SI20MAV6H15",105,,105,,24,,24,,77,472,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
1-2288,SI20PAH7-25,"E- AND I&C-ERECTION CONDENSER TUBE CLEANING SYSTEM 20PAH",5121,"HK1003-Rev.0E-3",TT_Task,"55902",-,-,-,0,TK_NotStart,06/11/2022,,19/11/2022,,"SI20BZK7E25 SS,SI20PAH6-15 FF,SI20PCB7M15 FS","SI20BZK7E25,SI20PAH6-15,SI20PCB7M15","SI20PAH8-25 FS,SI20BZK7D10# FF,SI20BZK7D10# SS,SI20BZK7D11# FF,SI20BZK7D11# SS","SI20PAH8-25,SI20BZK7D10#,SI20BZK7D10#,SI20BZK7D11#,SI20BZK7D11#",118,,120,,27,,28,,85,1448,"HK1003 -Blackpoint D2 - Rev.0E DD30092021",,,,,,,,,,,,,,,,
