Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
822_AB_W11v4,822-PH-2A2-1110,"Erection/Assembly of Falsework/Formwork",TT_Task,,"OHVD Slab",01-Nov-2014,21-Nov-2014,20,09-Oct-2014,31-Oct-2014,22,-23,2,10.00,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,2,1
822_AB_W11v4,822-PH-2A2-1120,"Rebar fixing and formwork erection",TT_Task,,"OHVD Slab",15-Dec-2014,18-Dec-2014,3,03-Nov-2014,19-Nov-2014,16,-42,13,433.33,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,2,1
822_AB_W11v4,822-PH-2A2-1130,"Concrete to OHVD Slab",TT_Task,,"OHVD Slab",19-Dec-2014,19-Dec-2014,0,20-Nov-2014,20-Nov-2014,,-29,,,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,1
822_AB_W11v4,822-PH-2A2-1140,"Strip OHVD Slab form",TT_Task,,"OHVD Slab",20-Dec-2014,22-Dec-2014,2,21-Nov-2014,24-Nov-2014,3,-29,1,50.00,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,1
822_AB_W11v4,822-PH-2A2-1000,"Design of OHVD Slab formwork",TT_Task,,"OHVD Slab Design and Fabrication",01-Sep-2014,09-Oct-2014,38,28-Apr-2014,22-Jul-2014,85,-126,47,123.68,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,1
822_AB_W11v4,822-PH-2A2-1010,"Fabrication of OHVD Slab Falsework/formwork F03 & F5a",TT_Task,,"OHVD Slab Design and Fabrication",01-Nov-2014,01-Dec-2014,30,02-Oct-2014,08-Oct-2014,6,-30,-24,-80.00,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,1
822_AB_W11v4,822-PH-2A2-1300,"Setting form",TT_Task,,"OHVD Slab",23-Dec-2014,24-Dec-2014,1,21-Nov-2014,24-Nov-2014,3,-32,2,200.00,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,2,1
822_AB_W11v4,822-PH-2A2-1310,"Rebar fixing and formwork erection",TT_Task,,"OHVD Slab",27-Dec-2014,30-Dec-2014,3,24-Nov-2014,25-Nov-2014,1,-33,-2,-66.67,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,1
822_AB_W11v4,822-PH-2A2-1320,"Concrete to OHVD Slab",TT_Task,,"OHVD Slab",31-Dec-2014,31-Dec-2014,0,26-Nov-2014,26-Nov-2014,,-35,,,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,1
822_AB_W11v4,822-PH-2A2-1330,"Removal of OHVD Slab form",TT_Task,,"OHVD Slab",02-Jan-2015,03-Jan-2015,1,27-Nov-2014,28-Nov-2014,1,-36,0,0.00,01-Jan-2017,01-Jan-2017,09-Dec-2014,09-Dec-2014,1,2
822_AB_W11v4,822-PH-2A2-1180,"Move portal truss from F03",TT_Task,,"Crown Lining",28-Nov-2014,29-Nov-2014,1,02-Aug-2014,02-Aug-2014,,-118,,,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,2,2
822_AB_W11v4,822-PH-2A2-1190,"Delivery of new portal truss",TT_Task,,"Crown Lining",01-Dec-2014,02-Dec-2014,1,24-Jul-2014,24-Jul-2014,,-130,,,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1200,"Connect portal truss from F03 & new truss",TT_Task,,"Crown Lining",03-Dec-2014,11-Dec-2014,8,15-Aug-2014,21-Aug-2014,6,-110,-2,-25.00,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,2,1
822_AB_W11v4,822-PH-2A2-1210,"Install sheetpile decking/railing",TT_Task,,"Crown Lining",12-Dec-2014,13-Dec-2014,1,07-Aug-2014,08-Aug-2014,1,-127,0,0.00,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1174,"Crown rebar fixing (include Type L lining collar) and removal of work platform",TT_Task,,"Crown Lining",01-Nov-2014,27-Nov-2014,26,03-Jul-2014,19-Jul-2014,16,-121,-10,-38.46,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,2
822_AB_W11v4,822-PH-2A2-1230,"Group 1 Crown Formwork",TT_Task,,"Crown Lining",15-Dec-2014,20-Dec-2014,5,08-Aug-2014,08-Aug-2014,,-129,,,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1240,"Group 2 Crown Formwork",TT_Task,,"Crown Lining",22-Dec-2014,03-Jan-2015,12,15-Aug-2014,15-Aug-2014,,-129,,,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1250,"Group 3 Crown Formwork",TT_Task,,"Crown Lining",05-Jan-2015,12-Jan-2015,7,15-Aug-2014,15-Aug-2014,,-143,,,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
822_AB_W11v4,822-PH-2A2-1260,"Group 4 Crown Formwork",TT_Task,,"Crown Lining",13-Jan-2015,16-Jan-2015,3,30-Jul-2014,30-Aug-2014,31,-167,28,933.33,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,3
822_AB_W11v4,822-PH-2A2-1270,"Stop end scaffold, formwork (include Type L Collar) and preparation",TT_Task,,"Crown Lining",15-Jan-2015,27-Jan-2015,12,16-Aug-2014,04-Sep-2014,19,-152,7,58.33,01-Jan-2017,01-Jan-2017,28-Apr-2014,28-Apr-2014,1,1
822_AB_W11v4,822-PH-2A2-1280,"Crown concrete pour (include Type L Collar)",TT_Task,,"Crown Lining",06-Oct-2014,06-Oct-2014,0,04-Sep-2014,08-Sep-2014,4,-32,,,01-Jan-2017,01-Jan-2017,28-Apr-2014,28-Apr-2014,2,1
822_AB_W11v4,822-PH-2A2-1290,"Remove formwork",TT_Task,,"Crown Lining",07-Oct-2014,16-Oct-2014,9,09-Sep-2014,30-Sep-2014,21,-28,12,133.33,01-Jan-2017,01-Jan-2017,28-Apr-2014,28-Apr-2014,1,2
822_AB_W11v4,822-PH-2A2-1172,"W/P and scaffold for rebar",TT_Task,,"Crown Lining",20-Oct-2014,31-Oct-2014,11,14-Jun-2014,02-Jul-2014,18,-128,7,63.64,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,2,1
822_AB_W11v4,822-PH-2A2-1150,"Stop end scaffold and formwork",TT_Task,,"Wall",01-Sep-2014,11-Sep-2014,10,17-Mar-2014,06-May-2014,50,-168,40,400.00,01-Jan-2017,01-Jan-2017,29-Jun-2013,29-Jun-2013,1,1
