Program,Task Code,Task Name,Task Type,Contract,Parent WBS,Current Planned Start,Current Planned Completed,Current Planned Duration (Days),Actual Start,Actual Completed,Actual Duration (Days),Delay (Days),Overrun (Days),Overrun (%),Current Early Start,Current Early End,Current Late Start,Current Late End,Predecessors,Successors
821_RMP_B_R3_May15MP,821011630,"Waterproofing procurement",TT_Task,,"Procurement",25-May-2011,27-Jun-2011,33,25-May-2011,27-Jun-2011,33,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,5
821_RMP_B_R3_May15MP,821012050,"Drainage procurement",TT_Task,,"Procurement",31-May-2011,04-Jul-2011,34,03-May-2011,04-Jun-2011,32,-28,-2,-5.88,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,2
821_RMP_B_R3_May15MP,821015860,"E&M works procurement",TT_Task,,"Procurement",02-Apr-2013,06-May-2013,34,02-Apr-2013,15-Jul-2013,104,0,70,205.88,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011570,"ABWF works procurement",TT_Task,,"Procurement",18-Mar-2013,23-Apr-2013,36,18-Mar-2013,23-Apr-2013,36,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,3,2
821_RMP_B_R3_May15MP,821010940,"Shutter Procurement",TT_Task,,"Procurement",07-Jul-2011,15-Oct-2011,100,07-Jul-2011,21-Oct-2011,106,0,6,6.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821010950,"Shutter Delivery to site",TT_Task,,"Procurement",19-Dec-2011,18-Jan-2012,30,19-Dec-2011,18-Jan-2012,30,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,2
821_RMP_B_R3_May15MP,821011865,"Procure explosive delivery vehicle",TT_Task,,"Procurement",06-Dec-2010,05-Jan-2011,30,06-Dec-2010,04-Mar-2011,88,0,58,193.33,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011510,"Hoarding procurement",TT_Task,,"Procurement",17-Jul-2010,30-Jul-2010,13,13-Sep-2010,28-Sep-2010,15,58,2,15.38,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011660,"Site installation work",TT_Task,,"Site Establishment",29-Sep-2010,22-Oct-2010,23,29-Sep-2010,22-Oct-2010,23,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,3,1
821_RMP_B_R3_May15MP,821012622,"Erect Fencing/Hoarding for Area 9.2",TT_Task,,"Site Establishment",20-Sep-2010,18-Oct-2010,28,20-Sep-2010,18-Oct-2010,28,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,4,2
821_RMP_B_R3_May15MP,821010730,"Submit initial site survey report",TT_Task,,"Site Establishment",28-Aug-2010,08-Sep-2010,11,28-Aug-2010,09-Sep-2010,12,0,1,9.09,31-May-2015,31-May-2015,10-May-2016,10-May-2016,3,1
821_RMP_B_R3_May15MP,821011665,"Confirm Tree Removal Application Plan P.4.6.2",TT_Task,,"Site Establishment",19-Jul-2010,01-Aug-2010,13,19-Jul-2010,01-Aug-2010,13,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821010725,"Carry out condition survey",TT_Task,,"Site Establishment",19-Aug-2010,04-Sep-2010,16,19-Aug-2010,04-Sep-2010,16,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821012440,"Temporary power and water supply",TT_Task,,"Site Establishment",28-Aug-2010,22-Sep-2010,25,28-Aug-2010,30-Sep-2010,33,0,8,32.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821011875,"Site clearance at Portal",TT_Task,,"Site Establishment",17-Jul-2010,23-Jul-2010,6,17-Jul-2010,02-Aug-2010,16,0,10,166.67,31-May-2015,31-May-2015,10-May-2016,10-May-2016,1,1
821_RMP_B_R3_May15MP,821014790,"Ground investigation at Kwai Chung Site",TT_Task,,"Site Establishment",13-Aug-2010,26-Aug-2010,13,13-Aug-2010,28-Sep-2010,46,0,33,253.85,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821010710,"Initial site survey",TT_Task,,"Site Establishment",02-Aug-2010,28-Aug-2010,26,02-Aug-2010,28-Aug-2010,26,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,3,1
821_RMP_B_R3_May15MP,821010720,"Review Employer's condition survey",TT_Task,,"Site Establishment",02-Aug-2010,16-Aug-2010,14,02-Aug-2010,16-Aug-2010,14,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821010740,"Instrumentation and monitoring",TT_Task,,"Site Establishment",26-Aug-2010,08-Sep-2010,13,26-Aug-2010,22-Sep-2010,27,0,14,107.69,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,2
821_RMP_B_R3_May15MP,821010750,"Pre-construction CCTV survey of all affected Drains",TT_Task,,"Site Establishment",02-Aug-2010,04-Sep-2010,33,02-Aug-2010,04-Sep-2010,33,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,2,1
821_RMP_B_R3_May15MP,821010860,"Site Clearance",TT_Task,,"Site Establishment",05-Aug-2010,27-Aug-2010,22,05-Aug-2010,27-Aug-2010,22,0,0,0.00,31-May-2015,31-May-2015,10-May-2016,10-May-2016,3,4
